Feature,Importance
cat__ChargerID_460,0.0
cat__ChargerID_458,0.0
cat__ChargerID_457,0.0
cat__ChargerID_456,0.0
cat__ChargerID_455,0.0
cat__ChargerID_454,0.0
cat__ChargerID_453,0.0
cat__ChargerID_452,0.0
cat__ChargerID_451,0.0
cat__ChargerID_450,0.0
cat__ChargerID_448,0.0
cat__ChargerID_447,0.0
cat__ChargerID_446,0.0
cat__ChargerID_489,0.0
cat__ChargerID_483,0.0
cat__ChargerID_482,0.0
cat__ChargerID_479,0.0
cat__ChargerID_477,0.0
cat__ChargerID_475,0.0
cat__ChargerID_474,0.0
cat__ChargerID_473,0.0
cat__ChargerID_472,0.0
cat__ChargerID_469,0.0
cat__ChargerID_468,0.0
cat__ChargerID_467,0.0
cat__ChargerID_466,0.0
cat__ChargerID_464,0.0
cat__ChargerID_463,0.0
cat__ChargerID_511,0.0
cat__ChargerID_510,0.0
cat__ChargerID_509,0.0
cat__ChargerID_508,0.0
cat__ChargerID_507,0.0
cat__ChargerID_506,0.0
cat__ChargerID_505,0.0
cat__ChargerID_504,0.0
cat__ChargerID_503,0.0
cat__ChargerID_502,0.0
cat__ChargerID_501,0.0
cat__ChargerID_500,0.0
cat__ChargerID_497,0.0
cat__ChargerID_495,0.0
cat__ChargerID_492,0.0
cat__ChargerID_530,0.0
cat__ChargerID_529,0.0
cat__ChargerID_528,0.0
cat__ChargerID_526,0.0
cat__ChargerID_525,0.0
cat__ChargerID_524,0.0
cat__ChargerID_523,0.0
cat__ChargerID_522,0.0
cat__ChargerID_521,0.0
cat__ChargerID_518,0.0
cat__ChargerID_517,0.0
cat__ChargerID_516,0.0
cat__ChargerID_515,0.0
cat__ChargerID_514,0.0
cat__ChargerID_548,0.0
cat__ChargerID_546,0.0
cat__ChargerID_545,0.0
cat__ChargerID_544,0.0
cat__ChargerID_543,0.0
cat__ChargerID_542,0.0
cat__ChargerID_541,0.0
cat__ChargerID_540,0.0
cat__ChargerID_539,0.0
cat__ChargerID_538,0.0
cat__ChargerID_537,0.0
cat__ChargerID_536,0.0
cat__ChargerID_534,0.0
cat__ChargerID_533,0.0
cat__ChargerID_532,0.0
cat__ChargerID_531,0.0
cat__ChargerID_564,0.0
cat__ChargerID_563,0.0
cat__ChargerID_562,0.0
cat__ChargerID_561,0.0
cat__ChargerID_560,0.0
cat__ChargerID_559,0.0
cat__ChargerID_558,0.0
cat__ChargerID_556,0.0
cat__ChargerID_554,0.0
cat__ChargerID_553,0.0
cat__ChargerID_552,0.0
cat__ChargerID_551,0.0
cat__ChargerID_550,0.0
cat__ChargerID_549,0.0
cat__ChargerID_580,0.0
cat__ChargerID_579,0.0
cat__ChargerID_578,0.0
cat__ChargerID_577,0.0
cat__ChargerID_576,0.0
cat__ChargerID_575,0.0
cat__ChargerID_574,0.0
cat__ChargerID_572,0.0
cat__ChargerID_571,0.0
cat__ChargerID_570,0.0
cat__ChargerID_569,0.0
cat__ChargerID_568,0.0
cat__ChargerID_567,0.0
cat__ChargerID_566,0.0
cat__ChargerID_565,0.0
cat__ChargerID_606,0.0
cat__ChargerID_604,0.0
cat__ChargerID_602,0.0
cat__ChargerID_601,0.0
cat__ChargerID_599,0.0
cat__ChargerID_598,0.0
cat__ChargerID_596,0.0
cat__ChargerID_595,0.0
cat__ChargerID_592,0.0
cat__ChargerID_590,0.0
cat__ChargerID_589,0.0
cat__ChargerID_588,0.0
cat__ChargerID_587,0.0
cat__ChargerID_586,0.0
cat__ChargerID_582,0.0
cat__ChargerID_581,0.0
cat__ChargerID_627,0.0
cat__ChargerID_625,0.0
cat__ChargerID_624,0.0
cat__ChargerID_623,0.0
cat__ChargerID_622,0.0
cat__ChargerID_621,0.0
cat__ChargerID_620,0.0
cat__ChargerID_619,0.0
cat__ChargerID_618,0.0
cat__ChargerID_614,0.0
cat__ChargerID_612,0.0
cat__ChargerID_611,0.0
cat__ChargerID_609,0.0
cat__ChargerID_608,0.0
cat__ChargerID_607,0.0
cat__ChargerID_644,0.0
cat__ChargerID_643,0.0
cat__ChargerID_642,0.0
cat__ChargerID_641,0.0
cat__ChargerID_640,0.0
cat__ChargerID_639,0.0
cat__ChargerID_638,0.0
cat__ChargerID_637,0.0
cat__ChargerID_636,0.0
cat__ChargerID_634,0.0
cat__ChargerID_633,0.0
cat__ChargerID_632,0.0
cat__ChargerID_631,0.0
cat__ChargerID_630,0.0
cat__ChargerID_629,0.0
cat__ChargerID_663,0.0
cat__ChargerID_662,0.0
cat__ChargerID_661,0.0
cat__ChargerID_660,0.0
cat__ChargerID_659,0.0
cat__ChargerID_658,0.0
cat__ChargerID_657,0.0
cat__ChargerID_656,0.0
cat__ChargerID_654,0.0
cat__ChargerID_653,0.0
cat__ChargerID_652,0.0
cat__ChargerID_651,0.0
cat__ChargerID_650,0.0
cat__ChargerID_648,0.0
cat__ChargerID_646,0.0
cat__ChargerID_645,0.0
cat__ChargerID_680,0.0
cat__ChargerID_679,0.0
cat__ChargerID_678,0.0
cat__ChargerID_677,0.0
cat__ChargerID_675,0.0
cat__ChargerID_673,0.0
cat__ChargerID_672,0.0
cat__ChargerID_671,0.0
cat__ChargerID_670,0.0
cat__ChargerID_669,0.0
cat__ChargerID_668,0.0
cat__ChargerID_667,0.0
cat__ChargerID_666,0.0
cat__ChargerID_664,0.0
cat__ChargerID_696,0.0
cat__ChargerID_695,0.0
