Location,Hour,LocationHourHistoricalMean
public institution,21,22.530200803212853
public institution,22,20.812461538461537
public institution,23,25.859027777777776
public parking lot,0,19.903888888888886
public parking lot,1,25.21
public parking lot,2,4.825
public parking lot,3,14.71
public parking lot,5,18.38
public parking lot,6,27.37942857142857
public parking lot,7,13.955
public parking lot,8,16.18675438596491
public parking lot,9,18.27896296296296
public parking lot,10,16.64220238095238
public parking lot,11,17.07320754716981
public parking lot,12,15.45395744680851
public parking lot,13,15.764474885844749
public parking lot,14,15.653809523809525
public parking lot,15,15.888678414096916
public parking lot,16,14.106181818181819
public parking lot,17,15.897556561085974
public parking lot,18,16.571506024096387
public parking lot,19,19.38825396825397
public parking lot,20,18.42025641025641
public parking lot,21,20.305773195876288
public parking lot,22,22.50875
public parking lot,23,23.202608695652174
resort,0,18.663809523809523
resort,1,18.622941176470587
resort,2,16.811666666666667
resort,3,25.265
resort,4,21.927142857142858
resort,5,28.80686274509804
resort,6,20.75536
resort,7,15.544974874371858
resort,8,14.101382113821138
resort,9,12.673802469135802
resort,10,12.692666666666668
resort,11,13.757772925764193
resort,12,13.96891774891775
resort,13,11.243619047619047
resort,14,11.413838028169014
resort,15,11.676725663716814
resort,16,13.415501222493887
resort,17,14.553479052823315
resort,18,18.383929663608562
resort,19,20.08827806122449
resort,20,21.620552070263486
resort,21,21.518003696857672
resort,22,22.60543624161074
resort,23,20.06969696969697
restaurant,0,20.05
restaurant,1,20.21375
restaurant,2,22.19857142857143
restaurant,3,15.82
restaurant,4,20.6375
restaurant,5,17.551666666666666
restaurant,6,17.72475
restaurant,7,15.910872483221475
restaurant,8,19.52910891089109
restaurant,9,16.328490566037736
restaurant,10,16.815675675675674
restaurant,11,13.420978260869566
restaurant,12,10.526168224299065
restaurant,13,13.940198019801981
restaurant,14,12.4871
restaurant,15,11.110795454545455
restaurant,16,14.452429906542056
restaurant,17,18.302931034482757
restaurant,18,21.46512
restaurant,19,25.042101910828027
restaurant,20,24.107684210526315
restaurant,21,24.355
restaurant,22,23.160227272727273
restaurant,23,25.372
sightseeing,0,16.384999999999998
sightseeing,1,18.855
sightseeing,4,5.373333333333334
sightseeing,5,4.97
sightseeing,6,13.069999999999999
sightseeing,7,9.102758620689656
sightseeing,8,10.974117647058824
sightseeing,9,15.064528301886792
sightseeing,10,13.07969696969697
sightseeing,11,15.157951807228914
sightseeing,12,16.68474358974359
sightseeing,13,14.142738095238096
sightseeing,14,14.414698795180724
sightseeing,15,16.218169014084506
sightseeing,16,16.82915254237288
sightseeing,17,11.31673076923077
sightseeing,18,14.143584905660378
sightseeing,19,21.07051282051282
sightseeing,20,22.124102564102564
sightseeing,21,14.40777777777778
sightseeing,22,27.184545454545457
sightseeing,23,23.292
